date,card,source_mode,application,sample,latency_us,latency_ms
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,19,50736,50.736
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,20,38892,38.892
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,21,38891,38.891
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,22,44117,44.117
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,23,48432,48.432
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,24,49188,49.188
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,25,40595,40.595
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,26,38688,38.688
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,27,41562,41.562
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,28,48809,48.809
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,29,41771,41.771
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,30,45756,45.756
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,31,39263,39.263
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,32,45234,45.234
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,33,46913,46.913
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,34,46020,46.020
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,35,43116,43.116
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,36,43218,43.218
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,37,47616,47.616
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,38,43938,43.938
2026-06-05,Elgato 4K Pro,1080p144,Elgato 4K Capture Utility,39,44142,44.142
